state,class_code,description,base_rate
CA,5129,"INTEGRATED CIRCUIT/SEMICONDUCTOR PROCESSING EQUIP INSTALLATION, SERVICE OR REPAIR",0.420
CA,5130,"PROGRAMMABLE CONTROLS/BLDG AUTOMATION/ENERGY MGMT INSTALLATION, SERVICE OR REPAIR",1.724
CA,5140,ELECTRICAL WIRING – HIGH WAGE,2.180
CA,5146,CABINET OR FIXTURES; SIGN INSTALLATION OR REPAIR,5.906
CA,5160,ELEVATOR ERECTION OR REPAIR,1.555
CA,5183,PLUMBING/REFRIGERATION EQUIP/HEATING OR A/C EQUIPMENT – LOW WAGE,5.905
CA,5184,STEAM PIPE OR BOILER INSULATION,2.972
CA,5185,AUTOMATIC SPRINKLER INSTALLATION – LOW WAGE,5.378
CA,5186,AUTOMATIC SPRINKLER INSTALLATION – HIGH WAGE,2.434
CA,5187,PLUMBING/REFRIGERATION EQUIP/HEATING OR A/C EQUIPMENT – HIGH WAGE,2.817
CA,5190,ELECTRICAL WIRING – LOW WAGE,3.863
CA,5191,"OFFICE MACHINE OR POS EQUIPMENT INSTALLATION, SERVICE OR REPAIR",2.553
CA,5192,VENDING OR COIN-OPERATED MACHINES,4.500
CA,5193,"COMPUTER/TELEPHONE SYSTEM/EQUIPMENT INSTALLATION, SERVICE OR REPAIR",1.182
CA,5195,COMMUNICATIONS CABLING,2.822
CA,5201,CONCRETE OR CEMENT WORK – LOW WAGE,8.529
CA,5205,CONCRETE OR CEMENT WORK – HIGH WAGE,4.913
CA,5212,CONCRETE PUMPING,6.825
CA,5213,CONCRETE CONSTRUCTION,5.343
CA,5214,CONCRETE OR CEMENT WORK,4.318
CA,5222,CONCRETE CONSTRUCTION – BRIDGES; CHIMNEY CONSTRUCTION,6.797
CA,5225,REINFORCING STEEL INSTALLATION,5.733
CA,5348,"TILE, STONE, MOSAIC OR TERRAZZO WORK",5.218
CA,5403,CARPENTRY – NOC – LOW WAGE,12.520
CA,5432,CARPENTRY – NOC – HIGH WAGE,5.511
CA,5436,HARDWOOD FLOOR LAYING,5.297
CA,5443,LATHING,5.812
CA,5446,WALLBOARD INSTALLATION – LOW WAGE,6.454
CA,5447,WALLBOARD INSTALLATION – HIGH WAGE,3.353
CA,5467,GLAZIERS – AWAY FROM SHOP – LOW WAGE,7.768
CA,5470,GLAZIERS – AWAY FROM SHOP – HIGH WAGE,3.450
CA,5473,ASBESTOS ABATEMENT,11.388
CA,5474,PAINTING; WATERPROOFING; PAINTING/WALLPAPER INSTALLATION – LOW WAGE,8.815
CA,5479,INSULATION WORK,5.609
CA,5482,PAINTING; WATERPROOFING; PAINTING/WALLPAPER INSTALLATION – HIGH WAGE,4.948
CA,5484,PLASTERING OR STUCCO WORK – LOW WAGE,8.751
CA,5485,PLASTERING OR STUCCO WORK – HIGH WAGE,6.680
CA,5506,STREET OR ROAD CONSTRUCTION – PAVING,5.795
CA,5507,STREET OR ROAD CONSTRUCTION – GRADING,3.936
CA,5538,SHEET METAL WORK; HEATING OR A/C DUCTWORK – LOW WAGE,6.083
CA,5542,SHEET METAL WORK; HEATING OR A/C DUCTWORK – HIGH WAGE,3.795
CA,5552,ROOFING – LOW WAGE,21.672
CA,5553,ROOFING – HIGH WAGE,12.566
CA,5606,CONTRACTORS – EXECUTIVE LEVEL SUPERVISORS,0.872
CA,5610,CONTRACTORS – ALL CONSTRUCTION SUBCONTRACTED,3.750
CA,5632,STEEL FRAMING – LOW WAGE,12.520
CA,5633,STEEL FRAMING – HIGH WAGE,5.511
CA,5650,TERMITE CONTROL WORK,8.866
CA,5951,"SERUM, ANTITOXIN OR VIRUS MFG",0.501
CA,6003,PILE DRIVING; WHARF BUILDING; BRIDGE/TRESTLE CONSTRUCTION – WOOD,10.110
CA,6011,DAM CONSTRUCTION,3.279
CA,6204,DRILLING,8.295
CA,6206,OIL/GAS WELLS – CEMENTING/ACIDIZING/FRACTURING; VACUUM TRUCK SVC/GRAVEL PACKING,3.045
CA,6213,OIL/GAS WELLS – SPECIALTY TOOL COMPANIES,2.929
CA,6216,OIL/GAS LEASE WORK,3.455
CA,6218,EXCAVATION/GRADING LAND/LAND LEVELING – LOW WAGE,5.581
CA,6220,EXCAVATION/GRADING LAND/LAND LEVELING – HIGH WAGE,3.729
CA,6233,OIL/GAS PIPE LINE CONSTRUCTION,2.244
CA,6235,OIL/GAS WELLS – DRILLING OR REDRILLING/INSTALL/RECOVERY OF CASING; DRILLING GEOTHERMAL WELLS,4.973
CA,6237,OIL/GAS WELLS – WIRELINE SERVICE/PERFORATING OF CASING,2.385
CA,6251,TUNNELING OR UNDERGROUND MINING,5.484
CA,6258,FOUNDATION PREPARATION WORK,4.838
CA,6307,SEWER CONSTRUCTION – LOW WAGE,7.699
CA,6308,SEWER CONSTRUCTION – HIGH WAGE,4.263
CA,6315,WATER/GAS MAINS CONSTRUCTION – LOW WAGE,5.101
CA,6316,WATER/GAS MAINS CONSTRUCTION – HIGH WAGE,3.259
CA,6325,CONDUIT CONSTRUCTION OR UNDERGROUND WIRING,3.936
CA,6361,CANAL/JETTY/BREAKWATER CONSTRUCTION; CROSS-COUNTRY WATER PIPELINE CONSTRUCTION,2.580
CA,6364,IRRIGATION PIPE INSTALLATION,5.271
CA,6400,FENCE CONSTRUCTION,6.220
CA,6504,FOOD PRODUCTS MFG OR PROCESSING,7.695
CA,6834,BOAT BUILDING OR REPAIRING,4.781
CA,7133,RAILROAD OPERATION,2.266
CA,7198,PARCEL DELIVERY COMPANIES; ARMORED TRANSPORT SERVICES,10.936
CA,7207,STABLES; CLUBS – RIDING; HORSE SHOWS/RODEOS/PACK TRAINS; RACING STABLES – HARNESS,10.431
CA,7219,TRUCKING FIRMS; EXPRESS COMPANIES; MOBILE CRANE/HOISTING SERVICE,7.547
CA,7227,"AUTO/TRUCK TOWING, ROADSIDE ASSISTANCE OR FREEWAY SERVICE PATROL",8.193
CA,7232,MAIL DELIVERY SERVICE COMPANIES,6.171
CA,7248,MARINE APPRAISERS OR SURVEYORS,2.079
CA,7272,WATER TRUCK SERVICE COMPANIES,12.012
CA,7332,AMBULANCE SERVICES,3.773
CA,7360,FREIGHT HANDLERS; FREIGHT FORWARDERS OR CONSOLIDATORS,6.931
CA,7365,TAXICAB OPERATIONS,8.474
CA,7382,"BUS, SHUTTLE VAN OR LIMOUSINE OPERATIONS",8.596
CA,7392,BEER DEALERS – WHOLESALE,6.152
CA,7403,AIRCRAFT OPERATION – SCHEDULED – ALL OTHERS,6.203
CA,7405,AIRCRAFT OPERATION – SCHEDULED – FLYING CREW,1.587
CA,7409,AIRCRAFT OPERATION – AGRICULTURAL – FLYING CREW,7.217
CA,7410,AIRCRAFT OPERATION – AGRICULTURAL – ALL OTHERS,6.602
CA,7421,AIRCRAFT OPERATION – PERSONNEL TRANSPORT – FLYING CREW,0.798
CA,7424,AIRCRAFT OPERATION – FLYING CREW,2.312
CA,7428,AIRCRAFT OPERATION – ALL OTHERS,2.836
CA,7429,AIRPORT OPERATORS,2.160
CA,7500,GAS WORKS,2.816
CA,7515,OIL OR GAS PIPELINE OPERATION,1.402
CA,7520,WATER COMPANIES,2.816
CA,7538,ELECTRIC POWER LINE CONSTRUCTION,2.385
CA,7539,ELECTRIC POWER COMPANIES,1.683
CA,7580,SANITARY OR SANITATION DISTRICTS OPERATION,3.756
CA,7600,COMMUNICATION SERVICE PROVIDERS,7.275
CA,7601,AERIAL LINE CONSTRUCTION,3.792
CA,7605,SECURITY OR FIRE ALARM INSTALLATION OR REPAIR,2.767
CA,7607,VIDEO POST-PRODUCTION; AUDIO POST-PRODUCTION,0.136
CA,7610,"RADIO, TELEVISION OR COMMERCIAL BROADCASTING STATIONS",0.567
CA,7706,FIREFIGHTING OPERATIONS – NOT VOLUNTEERS,8.229
CA,7707,FIREFIGHTING OPERATIONS – VOLUNTEERS,390.761
CA,7720,POLICE AND OTHER LAW ENFORCEMENT OFFICERS – NOT VOLUNTEERS,3.074
CA,7721,DETECTIVE OR PRIVATE INVESTIGATIVE AGENCIES,4.983
CA,7722,POLICE AND OTHER LAW ENFORCEMENT OFFICERS – VOLUNTEERS,168.523
CA,7855,RAILROAD CONSTRUCTION – ALL OPERATIONS,3.375
CA,8001,STORES – FLORISTS,5.705
CA,8004,STORES – GARDEN SUPPLIES,3.324
CA,8006,STORES – GROCERIES – RETAIL; STORES – FRUIT OR VEGETABLES – RETAIL,4.080
CA,8008,"STORES – CLOTHING, SHOES, LINENS OR FABRIC PRODUCTS – RETAIL",2.727
CA,8010,"STORES – HARDWARE, ELECTIRCAL OR PLUMBING SUPPLIES",2.378
CA,8013,STORES – JEWELRY; STORES – EYEWEAR,1.069
CA,8015,STORES – FURNITURE,5.356
CA,8017,STORES – RETAIL – NOC; STORES – HARDWARE; LINEN RENTAL/RESTROOM SUPPLY SVCS; PRODUCT DEMONSTRATORS,2.885
CA,8018,STORES – WHOLESALE,6.131
CA,8019,PRINTING – QUICK PRINTING; DOCUMENT DUPLICATION/PHOTOCOPYING,1.802
CA,8021,STORES – MEAT/FISH/POULTRY – WHOLESALE,9.763
CA,8028,EQUIPMENT OR MACHINERY RENTAL YARDS,4.526
CA,8031,"STORES – MEAT, FISH OR POULTRY – RETAIL",5.393
CA,8032,"STORES – CLOTHING, SHOES, LINENS OR FABRIC PRODUCTS – WHOLESALE",5.475
CA,8039,STORES – DEPARTMENT STORES – RETAIL,3.907
CA,8041,STORES – WINE OR SPIRITS – WHOLESALE,6.559
CA,8042,STORES – FLOOR COVERING,2.987
CA,8046,STORES – AUTO/TRUCK PARTS OR ACCESSORIES,3.605
CA,8057,BOAT DEALERS,2.951
CA,8059,STORES – TILE OR CABINETS,3.845
CA,8060,"STORES – WINE, BEER OR SPIRITS – RETAIL",1.875
CA,8061,STORES – CONVENIENCE,4.637
CA,8062,STORES – COMPUTER,1.280
CA,8063,STORES – LIGHTING FIXTURES,3.820
CA,8064,STORES – OFFICE SUPPLIES,3.045
CA,8065,STORES – PAINT OR PAINT SUPPLIES,2.403
CA,8066,STORES – BICYCLES AND BICYCLE ACCESSORIES,2.706
CA,8071,"STORES – BOOKS, VIDEO MEDIA OR RECORDED AUDIO MEDIA – RETAIL",0.800
CA,8078,SANDWICH SHOPS; BEVERAGE PREPARATION SHOPS; ICE CREAM/FROZEN YOGURT SHOPS,1.434
CA,8102,SEED MERCHANTS,2.087
CA,8106,METAL STOCK DEALERS,5.802
CA,8107,MACHINERY AND EQUIPMENT DEALERS,2.610
CA,8116,FARM MACHINERY DEALERS OR REPAIR FACILITIES,2.450
CA,8117,STORES – FEED/TACK/FARM SUPPLIES,6.065
CA,8209,VEGETABLES – FRESH VEGETABLES OR TOMATO PACKING AND HANDLING,6.257
CA,8215,"HAY, GRAIN OR FEED DEALERS; WAREHOUSES – GRAIN OR BEAN",9.197
CA,8227,CONSTRUCTION OR ERECTION PERMANENT YARDS OR SHOPS,5.022
CA,8232,LUMBERYARDS; BUILDING MATERIAL DEALERS; FUEL AND MATERIAL DEALERS,5.951
CA,8267,MACHINERY OR EQUIPMENT DEALERS – SECONDHAND,5.127
CA,8278,RACING STABLES – JOCKEYS/HARNESS DRIVERS,319.394
CA,8286,LIVESTOCK DEALERS/AUCTION YARDS,8.001
CA,8290,WAREHOUSES – SELF STORAGE – ALL OTHERS,3.594
CA,8291,WAREHOUSES – COLD STORAGE; WAREHOUSES – CLIMATE CONTROLLED STORAGE,5.075
CA,8292,WAREHOUSES – GENERAL MERCHANDISE,8.237
CA,8293,WAREHOUSES – FURNITURE; FURNITURE MOVING,10.522
CA,8304,GRAIN ELEVATORS OR STORAGE WAREHOUSES,7.627
CA,8324,GASOLINE STATIONS,3.401
